timestamp,id,T2M_toc,T2M_san,T2M_dav,weekend,holiday
2015-01-11 00:00:00,PAN_day_0,25.2705017089844,23.6064392089844,22.4580017089844,1,0
2015-01-11 01:00:00,PAN_day_0,25.169061279296898,23.536248779296898,22.442498779296898,1,0
2015-01-11 02:00:00,PAN_day_0,25.089288330078148,23.472100830078148,22.464288330078148,1,0
2015-01-11 03:00:00,PAN_day_0,25.015649414062523,23.429711914062523,22.531274414062523,1,0
2015-01-11 04:00:00,PAN_day_0,24.982141113281273,23.411828613281273,22.614953613281273,1,0
2015-01-11 05:00:00,PAN_day_0,24.941857910156273,23.332482910156273,22.684045410156273,1,0
2015-01-11 06:00:00,PAN_day_0,25.046685791015648,23.312310791015648,22.726373291015648,1,0
2015-01-11 07:00:00,PAN_day_0,25.829156494140648,24.657281494140648,23.258843994140648,1,0
2015-01-11 08:00:00,PAN_day_0,26.985620117187523,26.407495117187523,24.352807617187523,1,0
2015-01-11 09:00:00,PAN_day_0,28.052636718750023,27.865136718750023,25.638574218750023,1,0
2015-01-11 10:00:00,PAN_day_0,28.935205078125023,29.044580078125023,26.786767578125023,1,0
2015-01-11 11:00:00,PAN_day_0,29.6249938964844,29.9531188964844,27.5546813964844,1,0
2015-01-11 12:00:00,PAN_day_0,30.080895996093773,30.565270996093773,27.987145996093773,1,0
2015-01-11 13:00:00,PAN_day_0,30.346459960937523,30.846459960937523,28.190209960937523,1,0
2015-01-11 14:00:00,PAN_day_0,30.345635986328148,30.767510986328148,28.095635986328148,1,0
2015-01-11 15:00:00,PAN_day_0,30.040917968750023,30.337792968750023,27.689355468750023,1,0
2015-01-11 16:00:00,PAN_day_0,29.322534179687523,29.447534179687523,26.939721679687523,1,0
2015-01-11 17:00:00,PAN_day_0,28.027764892578148,28.012139892578148,25.785577392578148,1,0
2015-01-11 18:00:00,PAN_day_0,26.7194763183594,26.1413513183594,24.5241638183594,1,0
2015-01-11 19:00:00,PAN_day_0,26.113092041015648,25.370904541015648,23.933404541015648,1,0
2015-01-11 20:00:00,PAN_day_0,25.909753417968773,24.941003417968773,23.628503417968773,1,0
2015-01-11 21:00:00,PAN_day_0,25.842492675781273,24.654992675781273,23.467492675781273,1,0
2015-01-11 22:00:00,PAN_day_0,25.741571044921898,24.436883544921898,23.358758544921898,1,0
2015-01-11 23:00:00,PAN_day_0,25.595056152343773,24.220056152343773,23.251306152343773,1,0
2015-01-12 00:00:00,PAN_day_1,25.4479919433594,24.0104919433594,23.1511169433594,0,0
2015-01-12 01:00:00,PAN_day_1,25.299890136718773,23.831140136718773,23.049890136718773,0,0
2015-01-12 02:00:00,PAN_day_1,25.181939697265648,23.596002197265648,22.963189697265648,0,0
2015-01-12 03:00:00,PAN_day_1,25.116113281250023,23.256738281250023,22.897363281250023,0,0
2015-01-12 04:00:00,PAN_day_1,25.064355468750023,23.072167968750023,22.861230468750023,0,0
2015-01-12 05:00:00,PAN_day_1,25.011804199218773,22.925866699218773,22.824304199218773,0,0
2015-01-12 06:00:00,PAN_day_1,25.012292480468773,22.871667480468773,22.801354980468773,0,0
2015-01-12 07:00:00,PAN_day_1,25.782495117187523,24.532495117187523,23.321557617187523,0,0
2015-01-12 08:00:00,PAN_day_1,26.9008728027344,26.4399353027344,24.4868103027344,0,0
2015-01-12 09:00:00,PAN_day_1,28.002069091796898,27.955194091796898,25.752069091796898,0,0
2015-01-12 10:00:00,PAN_day_1,28.987329101562523,29.112329101562523,26.885766601562523,0,0
2015-01-12 11:00:00,PAN_day_1,29.763696289062523,30.013696289062523,27.654321289062523,0,0
2015-01-12 12:00:00,PAN_day_1,30.358087158203148,30.592462158203148,28.100274658203148,0,0
2015-01-12 13:00:00,PAN_day_1,30.705529785156273,30.861779785156273,28.314904785156273,0,0
2015-01-12 14:00:00,PAN_day_1,30.770837402343773,30.833337402343773,28.270837402343773,0,0
2015-01-12 15:00:00,PAN_day_1,30.549401855468773,30.424401855468773,27.955651855468773,0,0
2015-01-12 16:00:00,PAN_day_1,30.066125488281273,29.644250488281273,27.347375488281273,0,0
2015-01-12 17:00:00,PAN_day_1,29.124536132812523,28.327661132812523,26.327661132812523,0,0
2015-01-12 18:00:00,PAN_day_1,27.816857910156273,26.316857910156273,24.918420410156273,0,0
2015-01-12 19:00:00,PAN_day_1,26.944451904296898,25.506951904296898,24.155389404296898,0,0
2015-01-12 20:00:00,PAN_day_1,26.558282470703148,24.980157470703148,23.691094970703148,0,0
2015-01-12 21:00:00,PAN_day_1,26.368188476562523,24.594750976562523,23.415063476562523,0,0
2015-01-12 22:00:00,PAN_day_1,26.1938415527344,24.3344665527344,23.2250915527344,0,0
2015-01-12 23:00:00,PAN_day_1,26.027368164062523,24.144555664062523,23.019555664062523,0,0
2015-01-13 00:00:00,PAN_day_2,25.883660888671898,23.985223388671898,22.836785888671898,0,0
2015-01-13 01:00:00,PAN_day_2,25.7431579589844,23.8369079589844,22.6806579589844,0,0
2015-01-13 02:00:00,PAN_day_2,25.632928466796898,23.718865966796898,22.570428466796898,0,0
2015-01-13 03:00:00,PAN_day_2,25.5715270996094,23.5949645996094,22.5168395996094,0,0
2015-01-13 04:00:00,PAN_day_2,25.524743652343773,23.423181152343773,22.509118652343773,0,0
2015-01-13 05:00:00,PAN_day_2,25.455194091796898,23.220819091796898,22.541131591796898,0,0
2015-01-13 06:00:00,PAN_day_2,25.445092773437523,23.101342773437523,22.609155273437523,0,0
2015-01-13 07:00:00,PAN_day_2,26.189721679687523,24.767846679687523,23.197534179687523,0,0
2015-01-13 08:00:00,PAN_day_2,27.236474609375023,26.650537109375023,24.463037109375023,0,0
2015-01-13 09:00:00,PAN_day_2,28.226892089843773,28.164392089843773,25.859704589843773,0,0
2015-01-13 10:00:00,PAN_day_2,29.113153076171898,29.300653076171898,27.136590576171898,0,0
2015-01-13 11:00:00,PAN_day_2,29.767999267578148,30.236749267578148,28.088311767578148,0,0
2015-01-13 12:00:00,PAN_day_2,30.168664550781273,30.887414550781273,28.590539550781273,0,0
2015-01-13 13:00:00,PAN_day_2,30.393212890625023,31.236962890625023,28.799462890625023,0,0
2015-01-13 14:00:00,PAN_day_2,30.451043701171898,31.232293701171898,28.701043701171898,0,0
2015-01-13 15:00:00,PAN_day_2,30.224023437500023,30.911523437500023,28.208398437500023,0,0
2015-01-13 16:00:00,PAN_day_2,29.700555419921898,30.184930419921898,27.255242919921898,0,0
2015-01-13 17:00:00,PAN_day_2,28.758447265625023,28.930322265625023,26.133447265625023,0,0
2015-01-13 18:00:00,PAN_day_2,27.570031738281273,26.929406738281273,25.007531738281273,0,0
2015-01-13 19:00:00,PAN_day_2,26.844384765625023,26.156884765625023,24.211572265625023,0,0
2015-01-13 20:00:00,PAN_day_2,26.470483398437523,25.493920898437523,23.689233398437523,0,0
2015-01-13 21:00:00,PAN_day_2,26.168481445312523,24.871606445312523,23.387231445312523,0,0
2015-01-13 22:00:00,PAN_day_2,25.923120117187523,24.384057617187523,23.141870117187523,0,0
2015-01-13 23:00:00,PAN_day_2,25.729455566406273,24.065393066406273,23.026330566406273,0,0
2015-01-14 00:00:00,PAN_day_3,25.603845214843773,23.838220214843773,23.025720214843773,0,0
2015-01-14 01:00:00,PAN_day_3,25.500573730468773,23.688073730468773,23.031823730468773,0,0
2015-01-14 02:00:00,PAN_day_3,25.3915954589844,23.5400329589844,22.9228454589844,0,0
2015-01-14 03:00:00,PAN_day_3,25.319116210937523,23.350366210937523,22.756616210937523,0,0
2015-01-14 04:00:00,PAN_day_3,25.265405273437523,23.140405273437523,22.624780273437523,0,0
2015-01-14 05:00:00,PAN_day_3,25.198327636718773,22.909265136718773,22.534265136718773,0,0
2015-01-14 06:00:00,PAN_day_3,25.150537109375023,22.783349609375023,22.455224609375023,0,0
2015-01-14 07:00:00,PAN_day_3,25.900994873046898,24.416619873046898,22.900994873046898,0,0
2015-01-14 08:00:00,PAN_day_3,26.9792419433594,26.3308044433594,24.0808044433594,0,0
2015-01-14 09:00:00,PAN_day_3,28.018518066406273,27.979455566406273,25.487268066406273,0,0
2015-01-14 10:00:00,PAN_day_3,28.900048828125023,29.196923828125023,26.728173828125023,0,0
2015-01-14 11:00:00,PAN_day_3,29.535119628906273,30.160119628906273,27.636682128906273,0,0
2015-01-14 12:00:00,PAN_day_3,29.909326171875023,30.768701171875023,28.089013671875023,0,0
2015-01-14 13:00:00,PAN_day_3,30.095483398437523,30.986108398437523,28.275170898437523,0,0
2015-01-14 14:00:00,PAN_day_3,30.056848144531273,30.869348144531273,28.181848144531273,0,0
2015-01-14 15:00:00,PAN_day_3,29.785302734375023,30.504052734375023,27.769677734375023,0,0
2015-01-14 16:00:00,PAN_day_3,29.216882324218773,29.623132324218773,27.154382324218773,0,0
2015-01-14 17:00:00,PAN_day_3,28.286096191406273,28.223596191406273,26.192346191406273,0,0
2015-01-14 18:00:00,PAN_day_3,27.228662109375023,26.088037109375023,24.861474609375023,0,0
2015-01-14 19:00:00,PAN_day_3,26.693811035156273,25.068811035156273,24.068811035156273,0,0
2015-01-14 20:00:00,PAN_day_3,26.3962341308594,24.3337341308594,23.5837341308594,0,0
2015-01-14 21:00:00,PAN_day_3,26.187524414062523,23.835961914062523,23.242211914062523,0,0
2015-01-14 22:00:00,PAN_day_3,26.022546386718773,23.514733886718773,22.999108886718773,0,0
2015-01-14 23:00:00,PAN_day_3,25.894647216796898,23.300897216796898,22.785272216796898,0,0
2015-01-15 00:00:00,PAN_day_4,25.753442382812523,23.097192382812523,22.542504882812523,0,0
2015-01-15 01:00:00,PAN_day_4,25.601342773437523,22.859155273437523,22.288842773437523,0,0
2015-01-15 02:00:00,PAN_day_4,25.442285156250023,22.606347656250023,22.082910156250023,0,0
2015-01-15 03:00:00,PAN_day_4,25.241296386718773,22.374108886718773,21.960046386718773,0,0
2015-01-15 04:00:00,PAN_day_4,25.0786071777344,22.2270446777344,21.8911071777344,0,0
2015-01-15 05:00:00,PAN_day_4,24.963525390625023,22.166650390625023,21.846337890625023,0,0
2015-01-15 06:00:00,PAN_day_4,24.978082275390648,22.235894775390648,21.845269775390648,0,0
2015-01-15 07:00:00,PAN_day_4,25.909997558593773,24.261560058593773,22.511560058593773,0,0
2015-01-15 08:00:00,PAN_day_4,27.071557617187523,26.368432617187523,23.899682617187523,0,0
2015-01-15 09:00:00,PAN_day_4,28.112634277343773,28.065759277343773,25.581384277343773,0,0
2015-01-15 10:00:00,PAN_day_4,29.045098876953148,29.310723876953148,26.935723876953148,0,0
2015-01-15 11:00:00,PAN_day_4,29.7270446777344,30.3051696777344,27.8832946777344,0,0
2015-01-15 12:00:00,PAN_day_4,30.141870117187523,30.969995117187523,28.391870117187523,0,0
2015-01-15 13:00:00,PAN_day_4,30.304528808593773,31.195153808593773,28.617028808593773,0,0
2015-01-15 14:00:00,PAN_day_4,30.196435546875023,31.071435546875023,28.462060546875023,0,0
2015-01-15 15:00:00,PAN_day_4,29.732995605468773,30.670495605468773,27.936120605468773,0,0
2015-01-15 16:00:00,PAN_day_4,28.964685058593773,29.964685058593773,27.152185058593773,0,0
2015-01-15 17:00:00,PAN_day_4,28.024316406250023,28.696191406250023,26.118066406250023,0,0
2015-01-15 18:00:00,PAN_day_4,27.047296142578148,26.750421142578148,25.031671142578148,0,0
2015-01-15 19:00:00,PAN_day_4,26.484735107421898,25.945672607421898,24.203485107421898,0,0
2015-01-15 20:00:00,PAN_day_4,26.165551757812523,25.259301757812523,23.626489257812523,0,0
2015-01-15 21:00:00,PAN_day_4,25.970300292968773,24.642175292968773,23.173425292968773,0,0
2015-01-15 22:00:00,PAN_day_4,25.842919921875023,24.186669921875023,22.803857421875023,0,0
2015-01-15 23:00:00,PAN_day_4,25.755914306640648,23.888726806640648,22.521539306640648,0,0
2015-01-16 00:00:00,PAN_day_5,25.717401123046898,23.631463623046898,22.373651123046898,0,0
2015-01-16 01:00:00,PAN_day_5,25.597924804687523,23.488549804687523,22.308862304687523,0,0
2015-01-16 02:00:00,PAN_day_5,25.458215332031273,23.341027832031273,22.348840332031273,0,0
2015-01-16 03:00:00,PAN_day_5,25.326959228515648,23.272271728515648,22.311334228515648,0,0
2015-01-16 04:00:00,PAN_day_5,25.240991210937523,23.233178710937523,22.287866210937523,0,0
2015-01-16 05:00:00,PAN_day_5,25.213403320312523,23.189965820312523,22.299340820312523,0,0
2015-01-16 06:00:00,PAN_day_5,25.219384765625023,23.149072265625023,22.367822265625023,0,0
2015-01-16 07:00:00,PAN_day_5,25.843286132812523,24.632348632812523,22.757348632812523,0,0
2015-01-16 08:00:00,PAN_day_5,26.768426513671898,26.409051513671898,23.807489013671898,0,0
2015-01-16 09:00:00,PAN_day_5,27.636651611328148,27.980401611328148,25.402276611328148,0,0
2015-01-16 10:00:00,PAN_day_5,28.457360839843773,29.238610839843773,26.754235839843773,0,0
2015-01-16 11:00:00,PAN_day_5,29.129113769531273,30.175988769531273,27.707238769531273,0,0
2015-01-16 12:00:00,PAN_day_5,29.588342285156273,30.807092285156273,28.252404785156273,0,0
2015-01-16 13:00:00,PAN_day_5,29.722680664062523,31.113305664062523,28.425805664062523,0,0
2015-01-16 14:00:00,PAN_day_5,29.482293701171898,31.044793701171898,28.138543701171898,0,0
2015-01-16 15:00:00,PAN_day_5,29.112237548828148,30.534112548828148,27.588800048828148,0,0
2015-01-16 16:00:00,PAN_day_5,28.555993652343773,29.509118652343773,26.798181152343773,0,0
2015-01-16 17:00:00,PAN_day_5,27.780969238281273,28.093469238281273,25.773156738281273,0,0
2015-01-16 18:00:00,PAN_day_5,26.870538330078148,26.589288330078148,24.683038330078148,0,0
2015-01-16 19:00:00,PAN_day_5,26.351892089843773,25.922204589843773,24.078454589843773,0,0
2015-01-16 20:00:00,PAN_day_5,26.046075439453148,25.374200439453148,23.671075439453148,0,0
2015-01-16 21:00:00,PAN_day_5,25.853448486328148,24.908135986328148,23.415948486328148,0,0
2015-01-16 22:00:00,PAN_day_5,25.716455078125023,24.560205078125023,23.193017578125023,0,0
2015-01-16 23:00:00,PAN_day_5,25.584741210937523,24.358178710937523,23.006616210937523,0,0
2015-01-17 00:00:00,PAN_day_6,25.447198486328148,24.126885986328148,22.822198486328148,1,0
2015-01-17 01:00:00,PAN_day_6,25.304101562500023,23.913476562500023,22.647851562500023,1,0
2015-01-17 02:00:00,PAN_day_6,25.151635742187523,23.753198242187523,22.495385742187523,1,0
2015-01-17 03:00:00,PAN_day_6,25.004602050781273,23.590539550781273,22.340539550781273,1,0
2015-01-17 04:00:00,PAN_day_6,24.8935485839844,23.4482360839844,22.1982360839844,1,0
