timestamp,target,id,T2M_toc,T2M_san,T2M_dav,weekend,holiday
2015-01-04 00:00:00,968.0526,PAN_day_0,25.769189453125023,23.823876953125023,22.730126953125023,1,0
2015-01-04 01:00:00,944.0556,PAN_day_0,25.681817626953148,23.627130126953148,22.533380126953148,1,0
2015-01-04 02:00:00,928.7193,PAN_day_0,25.602319335937523,23.477319335937523,22.360131835937523,1,0
2015-01-04 03:00:00,909.5566,PAN_day_0,25.572656250000023,23.369531250000023,22.244531250000023,1,0
2015-01-04 04:00:00,894.6543,PAN_day_0,25.547143554687523,23.281518554687523,22.148706054687523,1,0
2015-01-04 05:00:00,884.6659,PAN_day_0,25.527856445312523,23.207543945312523,22.074731445312523,1,0
2015-01-04 06:00:00,862.9888,PAN_day_0,25.544763183593773,23.224450683593773,22.029138183593773,1,0
2015-01-04 07:00:00,871.6873,PAN_day_0,26.304223632812523,24.585473632812523,22.366723632812523,1,0
2015-01-04 08:00:00,912.4966,PAN_day_0,27.403222656250023,26.309472656250023,23.129785156250023,1,0
2015-01-04 09:00:00,969.8017,PAN_day_0,28.461389160156273,27.820764160156273,24.320764160156273,1,0
2015-01-04 10:00:00,1019.3105,PAN_day_0,29.381036376953148,28.974786376953148,25.912286376953148,1,0
2015-01-04 11:00:00,1059.7497,PAN_day_0,30.106256103515648,29.809381103515648,27.106256103515648,1,0
2015-01-04 12:00:00,1069.7854,PAN_day_0,30.595086669921898,30.360711669921898,27.688836669921898,1,0
2015-01-04 13:00:00,1087.2858,PAN_day_0,30.791101074218773,30.619226074218773,27.916101074218773,1,0
2015-01-04 14:00:00,1087.1689,PAN_day_0,30.692041015625023,30.567041015625023,27.848291015625023,1,0
2015-01-04 15:00:00,1075.3804,PAN_day_0,30.262750244140648,30.184625244140648,27.465875244140648,1,0
2015-01-04 16:00:00,1056.4102,PAN_day_0,29.419274902343773,29.419274902343773,26.684899902343773,1,0
2015-01-04 17:00:00,1033.7229,PAN_day_0,28.118127441406273,28.008752441406273,25.461877441406273,1,0
