timestamp,T2M_toc,T2M_san,T2M_dav,weekend,holiday
2015-01-03 01:00:00,25.865258789062523,23.482446289062523,22.662133789062523,1,0
2015-01-03 02:00:00,25.899255371093773,23.399255371093773,22.578942871093773,1,0
2015-01-03 03:00:00,25.937280273437523,23.343530273437523,22.531030273437523,1,0
2015-01-03 04:00:00,25.957543945312523,23.238793945312523,22.512231445312523,1,0
2015-01-03 05:00:00,25.973840332031273,23.075402832031273,22.481652832031273,1,0
2015-01-03 06:00:00,26.034143066406273,22.995080566406273,22.456018066406273,1,0
2015-01-03 07:00:00,26.691491699218773,24.285241699218773,22.949304199218773,1,0
2015-01-03 08:00:00,27.6740661621094,26.1896911621094,24.0881286621094,1,0
2015-01-03 09:00:00,28.760400390625023,27.916650390625023,25.479150390625023,1,0
2015-01-03 10:00:00,29.766656494140648,29.172906494140648,26.704156494140648,1,0
2015-01-03 11:00:00,30.523767089843773,30.070642089843773,27.648767089843773,1,0
2015-01-03 12:00:00,30.981805419921898,30.638055419921898,28.138055419921898,1,0
2015-01-03 13:00:00,31.211206054687523,30.883081054687523,28.336206054687523,1,0
2015-01-03 14:00:00,31.156518554687523,30.828393554687523,28.234643554687523,1,0
2015-01-03 15:00:00,30.816766357421898,30.457391357421898,27.910516357421898,1,0
2015-01-03 16:00:00,30.057214355468773,29.775964355468773,27.291589355468773,1,0
2015-01-03 17:00:00,28.802453613281273,28.474328613281273,26.239953613281273,1,0
2015-01-03 18:00:00,27.366357421875023,26.569482421875023,24.960107421875023,1,0
2015-01-03 19:00:00,26.613946533203148,25.817071533203148,24.238946533203148,1,0
2015-01-03 20:00:00,26.267266845703148,25.251641845703148,23.736016845703148,1,0
2015-01-03 21:00:00,26.083520507812523,24.771020507812523,23.411645507812523,1,0
2015-01-03 22:00:00,25.9562927246094,24.3703552246094,23.1594177246094,1,0
2015-01-03 23:00:00,25.861291503906273,24.056604003906273,22.939416503906273,1,0
2015-01-04 00:00:00,25.769189453125023,23.823876953125023,22.730126953125023,1,0
2015-01-04 01:00:00,25.681817626953148,23.627130126953148,22.533380126953148,1,0
2015-01-04 02:00:00,25.602319335937523,23.477319335937523,22.360131835937523,1,0
2015-01-04 03:00:00,25.572656250000023,23.369531250000023,22.244531250000023,1,0
2015-01-04 04:00:00,25.547143554687523,23.281518554687523,22.148706054687523,1,0
2015-01-04 05:00:00,25.527856445312523,23.207543945312523,22.074731445312523,1,0
2015-01-04 06:00:00,25.544763183593773,23.224450683593773,22.029138183593773,1,0
2015-01-04 07:00:00,26.304223632812523,24.585473632812523,22.366723632812523,1,0
2015-01-04 08:00:00,27.403222656250023,26.309472656250023,23.129785156250023,1,0
2015-01-04 09:00:00,28.461389160156273,27.820764160156273,24.320764160156273,1,0
2015-01-04 10:00:00,29.381036376953148,28.974786376953148,25.912286376953148,1,0
2015-01-04 11:00:00,30.106256103515648,29.809381103515648,27.106256103515648,1,0
2015-01-04 12:00:00,30.595086669921898,30.360711669921898,27.688836669921898,1,0
2015-01-04 13:00:00,30.791101074218773,30.619226074218773,27.916101074218773,1,0
2015-01-04 14:00:00,30.692041015625023,30.567041015625023,27.848291015625023,1,0
2015-01-04 15:00:00,30.262750244140648,30.184625244140648,27.465875244140648,1,0
2015-01-04 16:00:00,29.419274902343773,29.419274902343773,26.684899902343773,1,0
2015-01-04 17:00:00,28.118127441406273,28.008752441406273,25.461877441406273,1,0
2015-01-04 18:00:00,26.833398437500023,26.286523437500023,24.161523437500023,1,0
2015-01-04 19:00:00,26.2651306152344,25.4995056152344,23.4604431152344,1,0
2015-01-04 20:00:00,26.040368652343773,24.938806152343773,23.079431152343773,1,0
2015-01-04 21:00:00,25.870141601562523,24.510766601562523,22.823266601562523,1,0
2015-01-04 22:00:00,25.751367187500023,24.173242187500023,22.626367187500023,1,0
