timestamp,target,id,weekend,holiday
2015-01-04 00:00:00,968.0526,PAN_day_0,1,0
2015-01-04 01:00:00,944.0556,PAN_day_0,1,0
2015-01-04 02:00:00,928.7193,PAN_day_0,1,0
2015-01-04 03:00:00,909.5566,PAN_day_0,1,0
2015-01-04 04:00:00,894.6543,PAN_day_0,1,0
2015-01-04 05:00:00,884.6659,PAN_day_0,1,0
2015-01-04 06:00:00,862.9888,PAN_day_0,1,0
2015-01-04 07:00:00,871.6873,PAN_day_0,1,0
2015-01-04 08:00:00,912.4966,PAN_day_0,1,0
2015-01-04 09:00:00,969.8017,PAN_day_0,1,0
2015-01-04 10:00:00,1019.3105,PAN_day_0,1,0
2015-01-04 11:00:00,1059.7497,PAN_day_0,1,0
2015-01-04 12:00:00,1069.7854,PAN_day_0,1,0
2015-01-04 13:00:00,1087.2858,PAN_day_0,1,0
2015-01-04 14:00:00,1087.1689,PAN_day_0,1,0
2015-01-04 15:00:00,1075.3804,PAN_day_0,1,0
2015-01-04 16:00:00,1056.4102,PAN_day_0,1,0
2015-01-04 17:00:00,1033.7229,PAN_day_0,1,0
2015-01-04 18:00:00,1101.5439,PAN_day_0,1,0
2015-01-04 19:00:00,1137.1754,PAN_day_0,1,0
2015-01-04 20:00:00,1133.2082,PAN_day_0,1,0
2015-01-04 21:00:00,1102.3695,PAN_day_0,1,0
2015-01-04 22:00:00,1072.5808,PAN_day_0,1,0
2015-01-04 23:00:00,1012.596,PAN_day_0,1,0
2015-01-05 00:00:00,958.6209,PAN_day_0,0,0
2015-01-05 01:00:00,928.5338,PAN_day_0,0,0
2015-01-05 02:00:00,901.5402,PAN_day_0,0,0
2015-01-05 03:00:00,887.7822,PAN_day_0,0,0
2015-01-05 04:00:00,881.0019,PAN_day_0,0,0
2015-01-05 05:00:00,885.4197,PAN_day_0,0,0
2015-01-05 06:00:00,902.0863,PAN_day_0,0,0
2015-01-05 07:00:00,1037.157,PAN_day_0,0,0
2015-01-05 08:00:00,1191.9135,PAN_day_0,0,0
2015-01-05 09:00:00,1319.8159,PAN_day_0,0,0
2015-01-05 10:00:00,1383.0651,PAN_day_0,0,0
2015-01-05 11:00:00,1415.1816,PAN_day_0,0,0
2015-01-05 12:00:00,1398.8659,PAN_day_0,0,0
2015-01-05 13:00:00,1430.5514,PAN_day_0,0,0
2015-01-05 14:00:00,1413.9896,PAN_day_0,0,0
2015-01-05 15:00:00,1378.7528,PAN_day_0,0,0
2015-01-05 16:00:00,1292.2593,PAN_day_0,0,0
2015-01-05 17:00:00,1178.1032,PAN_day_0,0,0
2015-01-05 18:00:00,1188.0149,PAN_day_0,0,0
2015-01-05 19:00:00,1207.7648,PAN_day_0,0,0
2015-01-05 20:00:00,1156.6583,PAN_day_0,0,0
2015-01-05 21:00:00,1114.1973,PAN_day_0,0,0
2015-01-05 22:00:00,1066.7578,PAN_day_0,0,0
2015-01-05 23:00:00,1002.3568,PAN_day_0,0,0
2015-01-06 00:00:00,931.5394,PAN_day_0,0,0
2015-01-06 01:00:00,914.6895,PAN_day_0,0,0
2015-01-06 02:00:00,890.8448,PAN_day_0,0,0
2015-01-06 03:00:00,869.0447,PAN_day_0,0,0
2015-01-06 04:00:00,852.4821,PAN_day_0,0,0
2015-01-06 05:00:00,891.2575,PAN_day_0,0,0
2015-01-06 06:00:00,895.6612,PAN_day_0,0,0
2015-01-06 07:00:00,1006.3031,PAN_day_0,0,0
2015-01-06 08:00:00,1183.9851,PAN_day_0,0,0
2015-01-06 09:00:00,1311.9373,PAN_day_0,0,0
2015-01-06 10:00:00,1384.2441,PAN_day_0,0,0
2015-01-06 11:00:00,1401.9173,PAN_day_0,0,0
2015-01-06 12:00:00,1415.6382,PAN_day_0,0,0
2015-01-06 13:00:00,1437.47,PAN_day_0,0,0
2015-01-06 14:00:00,1430.0527,PAN_day_0,0,0
2015-01-06 15:00:00,1383.4537,PAN_day_0,0,0
2015-01-06 16:00:00,1325.206,PAN_day_0,0,0
2015-01-06 17:00:00,1166.9817,PAN_day_0,0,0
2015-01-06 18:00:00,1163.0865,PAN_day_0,0,0
2015-01-06 19:00:00,1197.1559,PAN_day_0,0,0
2015-01-06 20:00:00,1155.743,PAN_day_0,0,0
2015-01-06 21:00:00,1116.5382,PAN_day_0,0,0
2015-01-06 22:00:00,1086.2051,PAN_day_0,0,0
2015-01-06 23:00:00,1030.0292,PAN_day_0,0,0
2015-01-07 00:00:00,979.6728,PAN_day_0,0,0
2015-01-07 01:00:00,940.4568,PAN_day_0,0,0
2015-01-07 02:00:00,908.5931,PAN_day_0,0,0
2015-01-07 03:00:00,886.4675,PAN_day_0,0,0
2015-01-07 04:00:00,876.4283,PAN_day_0,0,0
2015-01-07 05:00:00,892.4143,PAN_day_0,0,0
2015-01-07 06:00:00,907.9188,PAN_day_0,0,0
2015-01-07 07:00:00,1010.5448,PAN_day_0,0,0
2015-01-07 08:00:00,1164.6559,PAN_day_0,0,0
