timestamp,id,temperature_2m,dew_point_2m,precipitation,pressure_msl,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_speed_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,dow,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,dow_sin,dow_cos,weekend,holiday
2015-01-11 00:00:00,PAN_day_0,25.5835,22.783499,0.0,1010.9,13.0,0.0,0.0,15.876775,24.858253,27.0,26.533499,27.7335,0.26,0.321,6,0,0,0,0,0,0,1,-0.7818315,0.6234898,1,0
2015-01-11 01:00:00,PAN_day_0,25.4835,22.783499,0.0,1010.4,14.0,0.0,0.0,15.484185,24.087738,25.56,26.3835,27.683498,0.261,0.321,6,0,0,0,0,0,0,1,-0.7818315,0.6234898,1,0
2015-01-11 02:00:00,PAN_day_0,25.5835,22.7335,0.0,1010.0,14.0,0.0,0.0,15.124284,23.675303,28.8,26.3335,27.5835,0.261,0.321,6,0,0,0,0,0,0,1,-0.7818315,0.6234898,1,0
2015-01-11 03:00:00,PAN_day_0,25.533499,22.7335,0.0,1009.4,12.0,0.0,0.0,14.77755,23.157824,28.8,26.2335,27.533499,0.261,0.321,6,0,0,0,0,0,0,1,-0.7818315,0.6234898,1,0
2015-01-11 04:00:00,PAN_day_0,25.533499,22.683498,0.0,1009.5,13.0,1.0,0.0,14.440443,22.881956,28.44,26.183498,27.433498,0.261,0.321,6,0,0,0,0,0,0,1,-0.7818315,0.6234898,1,0
2015-01-11 05:00:00,PAN_day_0,25.3835,22.6335,0.0,1009.5,14.0,1.0,0.0,12.964998,20.478907,28.44,26.0835,27.3835,0.261,0.321,6,0,0,0,0,0,0,1,-0.7818315,0.6234898,1,0
2015-01-11 06:00:00,PAN_day_0,25.433498,22.5835,0.0,1010.5,9.0,5.0,0.0,13.324863,20.898611,28.44,26.0835,27.3335,0.261,0.321,6,0,0,0,0,0,0,1,-0.7818315,0.6234898,1,0
2015-01-11 07:00:00,PAN_day_0,25.433498,22.6335,0.0,1011.3,12.0,8.0,0.0,13.039754,20.696085,27.72,26.033499,27.2335,0.261,0.321,6,0,0,0,0,0,0,1,-0.7818315,0.6234898,1,0
2015-01-11 08:00:00,PAN_day_0,25.9835,22.933498,0.0,1011.7,8.0,5.0,0.0,13.004921,19.06301,25.919998,26.3835,27.183498,0.261,0.321,6,0,0,0,0,0,0,1,-0.7818315,0.6234898,1,0
2015-01-11 09:00:00,PAN_day_0,27.2335,22.8835,0.0,1011.9,32.0,1.0,0.0,17.555305,24.248613,32.039997,27.283499,27.2335,0.261,0.321,6,0,0,0,0,0,0,1,-0.7818315,0.6234898,1,0
