stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Context only Weather Search,M396,h1_w1_none_ws_dew_point_2m_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",3.829935354708953,55.73534350094453,5
Calendar + Context only Weather Search,M397,h1_w1_integer_ws_dew_point_2m_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",3.85865155066231,56.03249926426501,6
Calendar + Context only Weather Search,M398,h1_w1_one_hot_ws_dew_point_2m_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",3.9326764011187274,56.79936788241739,12
Calendar + Context only Weather Search,M399,h1_w1_cyclic_ws_dew_point_2m_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",3.9227655016433878,57.32360195486517,7
Calendar + Context only Weather Search,M400,h0_w0_none_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.956070948396834,57.82505110624392,3
Calendar + Context only Weather Search,M401,h0_w0_integer_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('dow', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('dow', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.9544417782762533,57.39131394936509,4
Calendar + Context only Weather Search,M402,h0_w0_one_hot_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.9942565440570927,57.93575195550859,10
Calendar + Context only Weather Search,M403,h0_w0_cyclic_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('dow_sin', 'dow_cos', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('dow_sin', 'dow_cos', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",4.0632176820853445,59.53724613343443,5
Calendar + Context only Weather Search,M404,h0_w1_none_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('weekend', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.913946056985077,57.00334547823279,4
Calendar + Context only Weather Search,M405,h0_w1_integer_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('weekend', 'dow', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dow', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.9348632413644604,57.1747065367174,5
Calendar + Context only Weather Search,M406,h0_w1_one_hot_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.9528882025221574,57.146729145670264,11
Calendar + Context only Weather Search,M407,h0_w1_cyclic_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('weekend', 'dow_sin', 'dow_cos', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dow_sin', 'dow_cos', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",4.0207721487593115,58.846099145881254,6
Calendar + Context only Weather Search,M408,h1_w0_none_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.870323886068558,56.44549850119423,4
Calendar + Context only Weather Search,M409,h1_w0_integer_ws_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'dow', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dow', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.88545926282406,56.45234609423536,5
