id,dataset,rmse,mape
PAN_day_0,PAN,23.68082695757952,2.0700920753221865
PAN_day_1,PAN,218.09757123658414,13.44130596907275
PAN_day_2,PAN,17.49205797814014,1.2675537854608787
PAN_day_3,PAN,34.70559016018674,2.7145486117622837
PAN_day_4,PAN,20.95434928828324,1.4205036724322182
PAN_day_5,PAN,29.298003971365212,1.8283356111775313
PAN_day_6,PAN,28.387816749144662,2.3621237358250275
PAN_day_7,PAN,70.04012601868496,5.104026239780354
PAN_day_8,PAN,63.28078216017725,5.219019893000395
PAN_day_9,PAN,55.27921669371801,4.6517678581300785
PAN_day_10,PAN,63.07896974940561,4.377994320745434
PAN_day_11,PAN,28.096872893176986,2.2614657843551433
PAN_day_12,PAN,14.463110548745252,1.124790062241908
PAN_day_13,PAN,123.5355147719444,8.519495719247683
PAN_day_14,PAN,64.95800192781418,5.557535438920904
PAN_day_15,PAN,88.45343530737108,5.649829208483189
PAN_day_16,PAN,23.778993469128565,1.7289810133939727
PAN_day_17,PAN,34.03581165982709,2.5246854435426607
PAN_day_18,PAN,28.028645519910082,2.2881126218719934
PAN_day_19,PAN,15.699682545687775,1.1218336875656971
PAN_day_20,PAN,43.70510255801766,3.1902544452748343
PAN_day_21,PAN,26.521543893072845,2.181195290349409
PAN_day_22,PAN,77.31148180253477,4.81827080101706
PAN_day_23,PAN,22.887277842964824,1.5828394024154941
PAN_day_24,PAN,31.16953095301595,2.2678424369287633
PAN_day_25,PAN,27.36027553115246,2.0113565849187944
PAN_day_26,PAN,25.26725720068361,1.7175767242136737
PAN_day_27,PAN,27.598101941629867,2.298429400710472
PAN_day_28,PAN,22.203091581609577,1.7911055877642241
PAN_day_29,PAN,72.56275798085879,4.85305342668968
PAN_day_30,PAN,37.85848307200817,3.3794641968263783
PAN_day_31,PAN,21.31598353638405,1.7102752698589136
PAN_day_32,PAN,17.448687551680017,1.2566627394277718
PAN_day_33,PAN,21.95854657687787,1.5649689424052582
PAN_day_34,PAN,40.070953333695456,3.3567121038938907
PAN_day_35,PAN,72.54573235841154,6.6707918946817255
PAN_day_36,PAN,218.13396956880766,19.153226378033224
PAN_day_37,PAN,67.25923401184384,6.271317787475701
PAN_day_38,PAN,157.63771156026388,10.95676632135601
