stage,model,encoding,encoding_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Group 2,M8,none,(),"('temperature_2m', 'holiday', 'weekend')",2.6525348235921395,24.855400538612393,3
Group 2,M9,integer,"('dow',)","('temperature_2m', 'holiday', 'weekend', 'dow')",2.8099693251682254,26.159802293494433,4
Group 2,M10,one_hot,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6')","('temperature_2m', 'holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6')",2.847924505926207,26.766575356601344,10
Group 2,M11,cyclic,"('dow_sin', 'dow_cos')","('temperature_2m', 'holiday', 'weekend', 'dow_sin', 'dow_cos')",2.7421565003987687,25.690927607463678,5
