id,dataset,rmse,mape
LAT_day_876,LAT,11.176612486199325,1.63669011610803
LAT_day_877,LAT,34.897468867144696,4.223370564480488
LAT_day_878,LAT,13.21615173439934,1.8386489109876354
LAT_day_879,LAT,29.559262507714905,3.816998384029308
LAT_day_880,LAT,25.655571194836675,3.561474385530281
LAT_day_881,LAT,24.28820015288631,2.9433932868171393
LAT_day_882,LAT,19.5021366350801,2.2657453478252765
LAT_day_883,LAT,41.25984730946056,5.383928998402227
LAT_day_884,LAT,30.866648668101305,3.9583579269016558
LAT_day_885,LAT,11.900630235411905,1.6495098267319108
LAT_day_886,LAT,12.12435565298214,1.4436054291737486
LAT_day_887,LAT,18.67150234983784,2.1686961864626246
LAT_day_888,LAT,13.307266185559428,1.4596609991626754
LAT_day_889,LAT,13.740147985617428,1.6070614069263318
LAT_day_890,LAT,43.031964863343156,4.9232199824436105
LAT_day_891,LAT,63.91889392034252,6.7108991005021865
LAT_day_892,LAT,27.93071785686863,3.4256330920796363
LAT_day_893,LAT,13.205112646244256,1.5094972248325658
LAT_day_894,LAT,17.31088289679838,1.5983184426375505
LAT_day_895,LAT,37.551631123028464,3.4634549706463167
LAT_day_896,LAT,162.26649890432304,26.01473533099038
LAT_day_897,LAT,45.18757203774802,7.2154954499343225
LAT_day_898,LAT,55.967624569924354,9.537865993811893
LAT_day_899,LAT,74.09200361712456,8.560175345203797
LAT_day_900,LAT,21.428174599500228,2.0903101205050354
LAT_day_901,LAT,19.382122346808842,1.9276815448090698
LAT_day_902,LAT,19.77371993328519,2.580401518639815
LAT_day_903,LAT,29.103264421710495,3.7748415838674325
LAT_day_904,LAT,23.641418457162562,3.3016575092953158
LAT_day_905,LAT,44.20360090912655,5.766617072572414
LAT_day_906,LAT,20.374616560809187,3.017468813653355
LAT_day_907,LAT,26.165339669111884,2.397706195618946
LAT_day_908,LAT,18.672618098881223,2.0377630028141205
LAT_day_909,LAT,34.32686023121447,3.327822555722118
LAT_day_910,LAT,32.21736074437714,3.9048292239038744
LAT_day_911,LAT,39.354161152284775,5.85018962172538
LAT_day_912,LAT,44.09223287609735,5.716722361931092
LAT_day_913,LAT,62.857974832156344,8.656662846997781
LAT_day_914,LAT,38.86890359486188,5.024643650397135
LAT_day_915,LAT,26.63878750994497,2.714705081974139
LAT_day_916,LAT,17.97220075561143,1.989381374285405
LAT_day_917,LAT,17.041615729345228,2.193008191834797
LAT_day_918,LAT,18.844760545042753,2.4465643089873157
LAT_day_919,LAT,37.20775008874719,4.3743369025095955
LAT_day_920,LAT,31.357481829169043,3.9698890456507754
LAT_day_921,LAT,11.38346754435279,1.4019650169311546
LAT_day_922,LAT,12.95344227094353,1.712814692786183
LAT_day_923,LAT,14.544472031210574,1.6911142001794055
LAT_day_924,LAT,11.403581308811134,1.2815527248966263
