stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Context only Weather Search,M451,h0_w0_cyclic_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",2.963550300492963,28.22889568061004,6
Calendar + Context only Weather Search,M452,h0_w1_none_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('weekend', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",2.849647470646595,26.905329998342985,5
Calendar + Context only Weather Search,M453,h0_w1_integer_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('weekend', 'dow', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dow', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",2.9555366611030562,27.607539391326522,6
Calendar + Context only Weather Search,M454,h0_w1_one_hot_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",2.952264819439742,27.80742031924589,12
Calendar + Context only Weather Search,M455,h0_w1_cyclic_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",2.877683132033813,27.25813587875029,7
Calendar + Context only Weather Search,M456,h1_w0_none_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('holiday', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",3.0426114910585933,28.860501021562335,5
Calendar + Context only Weather Search,M457,h1_w0_integer_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('holiday', 'dow', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dow', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",2.9975272293098336,28.106377546596995,6
Calendar + Context only Weather Search,M458,h1_w0_one_hot_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",2.9455740293453134,27.81281072270071,12
Calendar + Context only Weather Search,M459,h1_w0_cyclic_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",2.888689864920113,27.50542281366269,7
Calendar + Context only Weather Search,M460,h1_w1_none_ws_temperature_2m_dew_point_2m_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'temperature_2m', 'dew_point_2m', 'wind_speed_10m', 'cloud_cover_low')",2.7755591970297586,26.245704686730022,6
