id,dataset,rmse,mape
LAT_day_0,LAT,19.108244294021365,2.021665823319984
LAT_day_1,LAT,19.208288141667733,2.0554171125261447
LAT_day_2,LAT,24.391767736950378,2.4120334394642025
LAT_day_3,LAT,22.362543087344367,2.1103895755090907
LAT_day_4,LAT,15.609825965290794,1.4687726251425455
LAT_day_5,LAT,14.29014812146233,1.1545219026504996
LAT_day_6,LAT,16.907838418910917,1.3631984123478345
LAT_day_7,LAT,16.233966448981796,1.1784423006417715
LAT_day_8,LAT,26.632530234032714,2.469636241255325
LAT_day_9,LAT,42.604772815573924,3.9317232506500774
LAT_day_10,LAT,33.59439437366498,3.22810164590522
LAT_day_11,LAT,6.636389580688182,0.5508847305799066
LAT_day_12,LAT,24.92990172463582,2.371890613241473
LAT_day_13,LAT,31.300292863379624,2.453668373281806
LAT_day_14,LAT,17.839562774911272,1.8677659217279756
LAT_day_15,LAT,33.20015060206806,3.8410541541873116
LAT_day_16,LAT,35.602551406699305,3.999514031704502
LAT_day_17,LAT,17.939713858736244,1.9144594215939206
LAT_day_18,LAT,9.8340395226648,0.9385341785565644
LAT_day_19,LAT,15.136875503220603,1.5199031473742797
LAT_day_20,LAT,18.388175548433292,1.5442758641494385
LAT_day_21,LAT,25.69208697893835,2.3904539247469314
LAT_day_22,LAT,19.783199943386307,2.1925561352840632
LAT_day_23,LAT,26.25991876098122,2.311988489613577
LAT_day_24,LAT,20.159778437935937,2.032764841872331
LAT_day_25,LAT,28.873286384938357,2.4588681340329375
LAT_day_26,LAT,9.03234926989282,0.8333796479177717
LAT_day_27,LAT,19.942626039048452,1.6125990009312914
LAT_day_28,LAT,22.689939033266118,2.052650106041552
LAT_day_29,LAT,17.514279888136993,1.6946015104260488
LAT_day_30,LAT,14.79019945774904,1.4229666752642376
LAT_day_31,LAT,36.632749464561535,3.0482112377172506
LAT_day_32,LAT,13.431927138972526,1.066512514493593
LAT_day_33,LAT,11.319231422671772,1.05988004418884
LAT_day_34,LAT,13.880441875771343,1.107718711821294
LAT_day_35,LAT,13.13709759929237,1.0241111761106387
LAT_day_36,LAT,25.135466310905525,2.3156860059909317
LAT_day_37,LAT,40.980178135288774,4.1654904492956835
LAT_day_38,LAT,42.38612194260443,4.443033270849278
LAT_day_39,LAT,25.34182971557763,2.3132400847645203
LAT_day_40,LAT,14.860462083439174,1.2055992461839062
LAT_day_41,LAT,9.034655499796326,0.7256521670441558
LAT_day_42,LAT,17.191325331883714,1.3175547601954258
LAT_day_43,LAT,12.070970687286643,1.2058421302534463
