id,dataset,rmse,mape
PAN_day_0,PAN,25.22824705614388,2.2264741901218277
PAN_day_1,PAN,199.3456879133791,12.075165781727515
PAN_day_2,PAN,15.118171651443184,1.0310074331397072
PAN_day_3,PAN,39.769950009314,3.153162794946033
PAN_day_4,PAN,20.991053836872993,1.6086983900378609
PAN_day_5,PAN,25.96933828654958,1.719644589776893
PAN_day_6,PAN,42.03115875089972,3.640891032724733
PAN_day_7,PAN,68.41350638848967,5.279108463906543
PAN_day_8,PAN,33.67371340677571,2.5304871148054615
PAN_day_9,PAN,53.2624544020066,4.534047988898873
PAN_day_10,PAN,63.24970120075009,4.404216166630847
PAN_day_11,PAN,28.16618991414322,2.1686027046561045
PAN_day_12,PAN,20.31317253822011,1.5352600600995054
PAN_day_13,PAN,127.17628678343824,9.487857104309255
PAN_day_14,PAN,59.71001102776165,4.130402612908398
PAN_day_15,PAN,58.29611681897573,3.6537495195800664
PAN_day_16,PAN,21.84879628706693,1.676154900600385
PAN_day_17,PAN,35.65833189602514,2.516024499605281
PAN_day_18,PAN,26.9101672171737,2.1724941945586207
PAN_day_19,PAN,13.254432549056961,0.9793189012462896
PAN_day_20,PAN,80.59051475793902,5.188071375941291
PAN_day_21,PAN,25.193034874081096,2.1395598994894596
PAN_day_22,PAN,64.9183661005112,3.9627995445413386
PAN_day_23,PAN,22.18736186726019,1.4708921766888492
PAN_day_24,PAN,31.457350277127844,2.3267567008810555
PAN_day_25,PAN,17.65651082647465,1.31847791833883
PAN_day_26,PAN,17.536275885658196,1.2020579079953213
PAN_day_27,PAN,27.49762187989325,2.231609021260678
PAN_day_28,PAN,20.835429767195826,1.6030767780132724
PAN_day_29,PAN,97.16282085811554,6.394977833562283
PAN_day_30,PAN,37.37160788883275,3.3466131507480825
PAN_day_31,PAN,17.665101333608785,1.3343075234445632
PAN_day_32,PAN,19.721839053540357,1.3376688683303473
PAN_day_33,PAN,21.381549773977635,1.5795327410541837
PAN_day_34,PAN,31.24485224363634,2.7993046534277686
PAN_day_35,PAN,72.57179000211619,6.786497374333981
PAN_day_36,PAN,217.19102712698847,18.75042611696671
PAN_day_37,PAN,66.13690849388675,6.351605368101336
PAN_day_38,PAN,145.32178076888832,10.235407831787269
PAN_day_39,PAN,29.169523561687363,2.022075166681364
PAN_day_40,PAN,75.56791006006065,5.585223532822616
PAN_day_41,PAN,106.93446351412703,7.742674663030304
PAN_day_42,PAN,64.32615859408727,5.563189012960333
PAN_day_43,PAN,164.99515327618718,9.125475141748813
PAN_day_44,PAN,34.709106792556376,1.990915125996462
PAN_day_45,PAN,51.56500764473182,3.13298966311421
PAN_day_46,PAN,37.507358517674014,2.567177786902722
PAN_day_47,PAN,17.397539442260218,1.1264254234007538
PAN_day_48,PAN,78.49455616965581,5.257619029109034
PAN_day_49,PAN,35.96532170658171,3.3120379179136092
PAN_day_50,PAN,27.639325722660704,2.1179943200800078
PAN_day_51,PAN,18.829908240969555,1.3525955412261295
PAN_day_52,PAN,18.866579266335407,1.2028046347682197
PAN_day_53,PAN,40.09369268940566,2.8701802357291735
PAN_day_54,PAN,37.891067252685055,3.0274050356861055
PAN_day_55,PAN,23.860966824676904,1.6384141823255247
PAN_day_56,PAN,33.20493449780846,3.033805957741835
PAN_day_57,PAN,52.6860110503174,3.0643409140749878
PAN_day_58,PAN,23.74965144283699,1.6343653224420829
PAN_day_59,PAN,23.008313219917557,1.6839758260632083
PAN_day_60,PAN,25.850938173086682,1.879455205116487
PAN_day_61,PAN,18.567799806721855,1.127570694450423
