stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Oracle Weather Search,M611,h0_w0_cyclic_ws_temperature_2m_pressure_msl,"('dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl')","('dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl')",3.9475902325357244,57.74776646390396,4
Calendar + Oracle Weather Search,M612,h0_w1_none_ws_temperature_2m_pressure_msl,"('weekend', 'temperature_2m', 'pressure_msl')","('weekend', 'temperature_2m', 'pressure_msl')",3.7319935344840247,54.003586978317266,3
Calendar + Oracle Weather Search,M613,h0_w1_integer_ws_temperature_2m_pressure_msl,"('weekend', 'dow', 'temperature_2m', 'pressure_msl')","('weekend', 'dow', 'temperature_2m', 'pressure_msl')",3.7748021256690127,54.45173486022952,4
Calendar + Oracle Weather Search,M614,h0_w1_one_hot_ws_temperature_2m_pressure_msl,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl')",3.6935945169346196,53.34382993198811,10
Calendar + Oracle Weather Search,M615,h0_w1_cyclic_ws_temperature_2m_pressure_msl,"('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl')","('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl')",3.8390003056102833,55.95677652315128,5
Calendar + Oracle Weather Search,M616,h1_w0_none_ws_temperature_2m_pressure_msl,"('holiday', 'temperature_2m', 'pressure_msl')","('holiday', 'temperature_2m', 'pressure_msl')",3.6980664612543404,53.72566002098507,3
Calendar + Oracle Weather Search,M617,h1_w0_integer_ws_temperature_2m_pressure_msl,"('holiday', 'dow', 'temperature_2m', 'pressure_msl')","('holiday', 'dow', 'temperature_2m', 'pressure_msl')",3.7181530656172965,53.683596594225975,4
Calendar + Oracle Weather Search,M618,h1_w0_one_hot_ws_temperature_2m_pressure_msl,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'pressure_msl')",3.731315238802484,54.058826265396036,10
Calendar + Oracle Weather Search,M619,h1_w0_cyclic_ws_temperature_2m_pressure_msl,"('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl')","('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'pressure_msl')",3.8236109479953404,55.80258660758729,5
Calendar + Oracle Weather Search,M620,h1_w1_none_ws_temperature_2m_pressure_msl,"('holiday', 'weekend', 'temperature_2m', 'pressure_msl')","('holiday', 'weekend', 'temperature_2m', 'pressure_msl')",3.589979123197091,51.98127142182034,4
