stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Oracle Weather Search,M541,h1_w1_integer_ws_dew_point_2m,"('holiday', 'weekend', 'dow', 'dew_point_2m')","('holiday', 'weekend', 'dow', 'dew_point_2m')",2.821903106978783,26.20661615308982,4
Calendar + Oracle Weather Search,M542,h1_w1_one_hot_ws_dew_point_2m,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')",2.873157839228237,26.95249432419209,10
Calendar + Oracle Weather Search,M543,h1_w1_cyclic_ws_dew_point_2m,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'dew_point_2m')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'dew_point_2m')",2.77344347488586,25.906760927384617,5
Calendar + Oracle Weather Search,M544,h0_w0_none_ws_pressure_msl,"('pressure_msl',)","('pressure_msl',)",3.2530986471320915,30.723154752217944,1
Calendar + Oracle Weather Search,M545,h0_w0_integer_ws_pressure_msl,"('dow', 'pressure_msl')","('dow', 'pressure_msl')",3.68657738988145,33.620495361979835,2
Calendar + Oracle Weather Search,M546,h0_w0_one_hot_ws_pressure_msl,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl')",3.04361678713435,28.645787625116352,8
Calendar + Oracle Weather Search,M547,h0_w0_cyclic_ws_pressure_msl,"('dow_sin', 'dow_cos', 'pressure_msl')","('dow_sin', 'dow_cos', 'pressure_msl')",3.1610758236607985,30.08059083808486,3
Calendar + Oracle Weather Search,M548,h0_w1_none_ws_pressure_msl,"('weekend', 'pressure_msl')","('weekend', 'pressure_msl')",2.890625438676891,26.98725537614488,2
Calendar + Oracle Weather Search,M549,h0_w1_integer_ws_pressure_msl,"('weekend', 'dow', 'pressure_msl')","('weekend', 'dow', 'pressure_msl')",3.1292213642425715,28.772755122175894,3
Calendar + Oracle Weather Search,M550,h0_w1_one_hot_ws_pressure_msl,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'pressure_msl')",2.94884977150085,27.61681985990737,9
Calendar + Oracle Weather Search,M551,h0_w1_cyclic_ws_pressure_msl,"('weekend', 'dow_sin', 'dow_cos', 'pressure_msl')","('weekend', 'dow_sin', 'dow_cos', 'pressure_msl')",3.0102630708699225,28.08377582828441,4
Calendar + Oracle Weather Search,M552,h1_w0_none_ws_pressure_msl,"('holiday', 'pressure_msl')","('holiday', 'pressure_msl')",3.0260979089051316,28.46211137711961,2
Calendar + Oracle Weather Search,M553,h1_w0_integer_ws_pressure_msl,"('holiday', 'dow', 'pressure_msl')","('holiday', 'dow', 'pressure_msl')",3.2188802125263014,29.792673183576362,3
