id,dataset,rmse,mape
LAT_day_0,LAT,21.62078475294857,2.2861128422897057
LAT_day_1,LAT,31.15485515934876,3.566648109382066
LAT_day_2,LAT,24.378098093712453,2.4388348357609986
LAT_day_3,LAT,23.785499784532593,2.192145442453408
LAT_day_4,LAT,15.438048235879215,1.4742091096645518
LAT_day_5,LAT,15.04022384585194,1.218490322421493
LAT_day_6,LAT,19.413268658317175,1.5097124325054923
LAT_day_7,LAT,23.983501273444904,2.1384032408989784
LAT_day_8,LAT,34.62116404744358,3.664392900841853
LAT_day_9,LAT,36.835218654615495,3.2346587393130464
LAT_day_10,LAT,23.5,2.2890830603528296
LAT_day_11,LAT,10.616418102794055,0.9104704971108891
LAT_day_12,LAT,13.729530217745982,1.1749414609734588
LAT_day_13,LAT,42.31676184838974,3.7158234233516545
LAT_day_14,LAT,21.258331699986872,2.1276342031572146
LAT_day_15,LAT,36.04973416453072,4.0943174927725785
LAT_day_16,LAT,37.13769423824443,4.193465756887336
LAT_day_17,LAT,24.573020435700073,2.4730156397009835
LAT_day_18,LAT,12.34402689562851,1.1670067932746748
LAT_day_19,LAT,13.642763649642253,1.3253557733940575
LAT_day_20,LAT,10.541584321154007,0.815875843786579
LAT_day_21,LAT,24.057223447438815,2.234521953016075
LAT_day_22,LAT,23.573466722850362,2.655796027160251
LAT_day_23,LAT,28.785123472608788,2.5659110723825584
LAT_day_24,LAT,19.758964210369598,1.9708366172614413
LAT_day_25,LAT,27.718826333979823,2.3812988710791805
LAT_day_26,LAT,11.84271928232701,1.1243767185401121
LAT_day_27,LAT,21.649672822778022,1.738056379683341
LAT_day_28,LAT,25.321269057191163,2.389836065335495
LAT_day_29,LAT,42.68586807519947,4.5456629130001724
LAT_day_30,LAT,14.074208089030563,1.1008882897754917
LAT_day_31,LAT,40.036962089216175,3.1375618686231586
LAT_day_32,LAT,17.61864542655498,1.4458818209809816
LAT_day_33,LAT,14.959667999881102,1.4351545697833257
LAT_day_34,LAT,14.910846164230028,1.3384743757210065
LAT_day_35,LAT,12.379418403139947,0.9371728866222215
LAT_day_36,LAT,24.90900105049043,2.2700029100650405
LAT_day_37,LAT,41.58575477251796,4.525956261786873
